Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"navigateToUrl(""https://www.saucedemo.com/v1/index.html"")",Chrome 114.0.0.0,,,2023-06-20 11:31:19,2023-06-20 11:31:20,1.171s,PASSED
"setEncryptedText(findTestObject(""SauceLabs_Login/Username""), ""xDH/NDxr8Nk91RcxWnF9Qg=="")",Chrome 114.0.0.0,,,2023-06-20 11:31:20,2023-06-20 11:31:21,1.223s,PASSED
takeFullPageScreenshot(),Chrome 114.0.0.0,,,2023-06-20 11:31:21,2023-06-20 11:31:23,1.832s,PASSED
"click(findTestObject(""SauceLabs_Login/buttonLogin""))",Chrome 114.0.0.0,,,2023-06-20 11:31:23,2023-06-20 11:31:24,0.860s,PASSED
"verifyElementText(findTestObject(""SauceLabs_Login/Message_ErrorLogin""), ""Epic sadface: Password is required"")",Chrome 114.0.0.0,,,2023-06-20 11:31:24,2023-06-20 11:31:25,0.653s,PASSED
takeFullPageScreenshot(),Chrome 114.0.0.0,,,2023-06-20 11:31:25,2023-06-20 11:31:26,1.543s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-06-20 11:31:26,2023-06-20 11:31:28,1.402s,PASSED
Video,Chrome 114.0.0.0,,,2023-06-20 11:31:30,2023-06-20 11:31:30,0.000s,PASSED
,,,,,,,
Test Cases/SauceDemo_SwagLabs/Login/5.Login_UsernameEmpty,Chrome 114.0.0.0,,,2023-06-20 11:31:30,2023-06-20 11:31:51,20.822s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-20 11:31:31,2023-06-20 11:31:36,4.301s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-06-20 11:31:36,2023-06-20 11:31:36,0.309s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/index.html"")",Chrome 114.0.0.0,,,2023-06-20 11:31:36,2023-06-20 11:31:37,1.117s,PASSED
"setEncryptedText(findTestObject(""SauceLabs_Login/Password""), ""xDH/NDxr8Nk91RcxWnF9Qg=="")",Chrome 114.0.0.0,,,2023-06-20 11:31:37,2023-06-20 11:31:39,1.369s,PASSED
takeFullPageScreenshot(),Chrome 114.0.0.0,,,2023-06-20 11:31:39,2023-06-20 11:31:40,1.749s,PASSED
"click(findTestObject(""SauceLabs_Login/buttonLogin""))",Chrome 114.0.0.0,,,2023-06-20 11:31:40,2023-06-20 11:31:41,0.993s,PASSED
"verifyElementText(findTestObject(""SauceLabs_Login/Message_ErrorLogin""), ""Epic sadface: Username is required"")",Chrome 114.0.0.0,,,2023-06-20 11:31:41,2023-06-20 11:31:42,0.709s,PASSED
takeFullPageScreenshot(),Chrome 114.0.0.0,,,2023-06-20 11:31:42,2023-06-20 11:31:44,2.214s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-06-20 11:31:44,2023-06-20 11:31:48,4.211s,PASSED
Video,Chrome 114.0.0.0,,,2023-06-20 11:31:51,2023-06-20 11:31:51,0.002s,PASSED
